year,name,date,weather,num_dnfs,circuit_type,phy_diff,safety_car
2014,Australian Grand Prix,2014-03-16,dry,7,street,2,TRUE
2014,Malaysian Grand Prix,2014-03-30,dry,6,traditional,4,FALSE
2014,Bahrain Grand Prix,2014-04-06,,,traditional,3,TRUE
2014,Chinese Grand Prix,2014-04-20,,,traditional,2,FALSE
2014,Spanish Grand Prix,2014-05-11,,,traditional,2,FALSE
2014,Monaco Grand Prix,2014-05-25,,,street,3,TRUE
2014,Canadian Grand Prix,2014-06-08,,,traditional,2,TRUE
2014,Austrian Grand Prix,2014-06-22,,,traditional,2,FALSE
2014,British Grand Prix,2014-07-06,,,traditional,1,TRUE
2014,German Grand Prix,2014-07-20,,,traditional,2,TRUE
2014,Hungarian Grand Prix,2014-07-27,,,traditional,2,TRUE
2014,Belgian Grand Prix,2014-08-24,,,traditional,2,FALSE
2014,Italian Grand Prix,2014-09-07,,,traditional,2,FALSE
2014,Singapore Grand Prix,2014-09-21,,,street,4,TRUE
2014,Japanese Grand Prix,2014-10-05,,,traditional,2,TRUE
2014,Russian Grand Prix,2014-10-12,,,street,2,FALSE
2014,United States Grand Prix,2014-11-02,,,traditional,2,TRUE
2014,Brazilian Grand Prix,2014-11-09,,,traditional,2,FALSE
2014,Abu Dhabi Grand Prix,2014-11-23,,,traditional,3,FALSE
2015,Monaco Grand Prix,2015-05-24,,,street,3,TRUE
2015,Canadian Grand Prix,2015-06-07,,,traditional,2,FALSE
2015,Bahrain Grand Prix,2015-04-19,,,traditional,3,FALSE
2015,Spanish Grand Prix,2015-05-10,,,traditional,2,FALSE
2015,Chinese Grand Prix,2015-04-12,,,traditional,2,TRUE
2015,Australian Grand Prix,2015-03-15,,,street,2,TRUE
2015,Malaysian Grand Prix,2015-03-29,,,traditional,4,TRUE
2015,Austrian Grand Prix,2015-06-21,,,traditional,2,TRUE
2015,British Grand Prix,2015-07-05,,,traditional,1,TRUE
2015,Hungarian Grand Prix,2015-07-26,,,traditional,2,TRUE
2015,Belgian Grand Prix,2015-08-23,,,traditional,2,TRUE
2015,Italian Grand Prix,2015-09-06,,,traditional,2,FALSE
2015,Singapore Grand Prix,2015-09-20,,,street,4,TRUE
2015,Japanese Grand Prix,2015-09-27,,,traditional,2,FALSE
2015,Russian Grand Prix,2015-10-11,,,street,2,TRUE
2015,United States Grand Prix,2015-10-25,,,traditional,2,TRUE
2015,Mexican Grand Prix,2015-11-01,,,traditional,3,TRUE
2015,Brazilian Grand Prix,2015-11-15,,,traditional,2,FALSE
2015,Abu Dhabi Grand Prix,2015-11-29,,,traditional,3,FALSE
2016,Australian Grand Prix,2016-03-20,,,street,2,TRUE
2016,Bahrain Grand Prix,2016-04-03,,,traditional,3,FALSE
2016,Chinese Grand Prix,2016-04-17,,,traditional,2,TRUE
2016,Russian Grand Prix,2016-05-01,,,street,2,TRUE
2016,Spanish Grand Prix,2016-05-15,,,traditional,2,TRUE
2016,Monaco Grand Prix,2016-05-29,,,street,3,TRUE
2016,Canadian Grand Prix,2016-06-12,,,traditional,2,TRUE
2016,Azerbaijan Grand Prix,2016-06-19,,,street,3,FALSE
2016,Austrian Grand Prix,2016-07-03,,,traditional,2,TRUE
2016,British Grand Prix,2016-07-10,,,traditional,1,TRUE
2016,Hungarian Grand Prix,2016-07-24,,,traditional,2,FALSE
2016,German Grand Prix,2016-07-31,,,traditional,2,FALSE
2016,Belgian Grand Prix,2016-08-28,,,traditional,2,TRUE
2016,Italian Grand Prix,2016-09-04,,,traditional,2,FALSE
2016,Singapore Grand Prix,2016-09-18,,,street,4,TRUE
2016,Malaysian Grand Prix,2016-10-02,,,traditional,4,FALSE
2016,Japanese Grand Prix,2016-10-09,,,traditional,2,FALSE
2016,United States Grand Prix,2016-10-23,,,traditional,2,TRUE
2016,Mexican Grand Prix,2016-10-30,,,traditional,3,TRUE
2016,Brazilian Grand Prix,2016-11-13,,,traditional,2,TRUE
2016,Abu Dhabi Grand Prix,2016-11-27,,,traditional,3,FALSE
2017,Australian Grand Prix,2017-03-26,,,street,2,FALSE
2017,Chinese Grand Prix,2017-04-09,,,traditional,2,TRUE
2017,Bahrain Grand Prix,2017-04-16,,,traditional,3,TRUE
2017,Russian Grand Prix,2017-04-30,,,street,2,TRUE
2017,Spanish Grand Prix,2017-05-14,,,traditional,2,TRUE
2017,Monaco Grand Prix,2017-05-28,,,street,3,TRUE
2017,Canadian Grand Prix,2017-06-11,,,traditional,2,TRUE
2017,Azerbaijan Grand Prix,2017-06-25,,,street,3,TRUE
2017,Austrian Grand Prix,2017-07-09,,,traditional,2,FALSE
2017,British Grand Prix,2017-07-16,,,traditional,1,TRUE
2017,Hungarian Grand Prix,2017-07-30,,,traditional,2,TRUE
2017,Belgian Grand Prix,2017-08-27,,,traditional,2,TRUE
2017,Italian Grand Prix,2017-09-03,,,traditional,2,FALSE
2017,Singapore Grand Prix,2017-09-17,,,street,4,TRUE
2017,Malaysian Grand Prix,2017-10-01,,,traditional,4,FALSE
2017,Japanese Grand Prix,2017-10-08,,,traditional,2,TRUE
2017,United States Grand Prix,2017-10-22,,,traditional,2,FALSE
2017,Mexican Grand Prix,2017-10-29,,,traditional,3,TRUE
2017,Brazilian Grand Prix,2017-11-12,,,traditional,2,TRUE
2017,Abu Dhabi Grand Prix,2017-11-26,,,traditional,3,FALSE
2018,Australian Grand Prix,2018-03-25,,,street,2,TRUE
2018,Bahrain Grand Prix,2018-04-08,,,traditional,3,TRUE
2018,Chinese Grand Prix,2018-04-15,,,traditional,2,TRUE
2018,Azerbaijan Grand Prix,2018-04-29,,,street,3,TRUE
2018,Spanish Grand Prix,2018-05-13,,,traditional,2,TRUE
2018,Monaco Grand Prix,2018-05-27,,,street,3,TRUE
2018,Canadian Grand Prix,2018-06-10,,,traditional,2,TRUE
2018,French Grand Prix,2018-06-24,,,traditional,2,TRUE
2018,Austrian Grand Prix,2018-07-01,,,traditional,2,TRUE
2018,British Grand Prix,2018-07-08,,,traditional,1,TRUE
2018,German Grand Prix,2018-07-22,,,traditional,2,TRUE
2018,Hungarian Grand Prix,2018-07-29,,,traditional,2,TRUE
2018,Belgian Grand Prix,2018-08-26,,,traditional,2,TRUE
2018,Italian Grand Prix,2018-09-02,,,traditional,2,TRUE
2018,Singapore Grand Prix,2018-09-16,,,street,4,TRUE
2018,Russian Grand Prix,2018-09-30,,,street,2,FALSE
2018,Japanese Grand Prix,2018-10-07,,,traditional,2,TRUE
2018,United States Grand Prix,2018-10-21,,,traditional,2,TRUE
2018,Mexican Grand Prix,2018-10-28,,,traditional,3,TRUE
2018,Brazilian Grand Prix,2018-11-11,,,traditional,2,FALSE
2018,Abu Dhabi Grand Prix,2018-11-25,,,traditional,3,TRUE
2019,Australian Grand Prix,2019-03-17,,,street,2,FALSE
2019,Bahrain Grand Prix,2019-03-31,,,traditional,3,TRUE
2019,Chinese Grand Prix,2019-04-14,,,traditional,2,TRUE
2019,Azerbaijan Grand Prix,2019-04-28,,,street,3,TRUE
2019,Spanish Grand Prix,2019-05-12,,,traditional,2,TRUE
2019,Monaco Grand Prix,2019-05-26,,,street,3,TRUE
2019,Canadian Grand Prix,2019-06-09,,,traditional,2,FALSE
2019,French Grand Prix,2019-06-23,,,traditional,2,TRUE
2019,Austrian Grand Prix,2019-06-30,,,traditional,2,FALSE
2019,British Grand Prix,2019-07-14,,,traditional,1,TRUE
2019,German Grand Prix,2019-07-28,,,traditional,2,TRUE
2019,Hungarian Grand Prix,2019-08-04,,,traditional,2,FALSE
2019,Belgian Grand Prix,2019-09-01,,,traditional,2,TRUE
2019,Italian Grand Prix,2019-09-08,,,traditional,2,TRUE
2019,Singapore Grand Prix,2019-09-22,,,street,4,TRUE
2019,Russian Grand Prix,2019-09-29,,,street,2,TRUE
2019,Japanese Grand Prix,2019-10-13,,,traditional,2,FALSE
2019,Mexican Grand Prix,2019-10-27,,,traditional,3,TRUE
2019,United States Grand Prix,2019-11-03,,,traditional,2,FALSE
2019,Brazilian Grand Prix,2019-11-17,,,traditional,2,TRUE
2019,Abu Dhabi Grand Prix,2019-12-01,,,traditional,3,FALSE
2020,Austrian Grand Prix,2020-07-05,,,traditional,2,TRUE
2020,Austrian Grand Prix,2020-07-12,,,traditional,2,TRUE
2020,Hungarian Grand Prix,2020-07-19,,,traditional,2,FALSE
2020,British Grand Prix,2020-08-02,,,traditional,1,TRUE
2020,British Grand Prix,2020-08-09,,,traditional,1,FALSE
2020,Spanish Grand Prix,2020-08-16,,,traditional,2,FALSE
2020,Belgian Grand Prix,2020-08-30,,,traditional,2,TRUE
2020,Italian Grand Prix,2020-09-06,,,traditional,2,TRUE
2020,Tuscan Grand Prix,2020-09-13,,,traditional,2,TRUE
2020,Russian Grand Prix,2020-09-27,,,street,2,TRUE
2020,Eifel Grand Prix,2020-10-11,,,traditional,2,TRUE
2020,Portuguese Grand Prix,2020-10-25,,,traditional,2,FALSE
2020,Emilia Romagna Grand Prix,2020-11-01,,,traditional,2,TRUE
2020,Turkish Grand Prix,2020-11-15,,,traditional,3,TRUE
2020,Bahrain Grand Prix,2020-11-29,,,traditional,3,TRUE
2020,Bahrain Grand Prix,2020-12-06,,,traditional,3,TRUE
2020,Abu Dhabi Grand Prix,2020-12-13,,,traditional,3,TRUE
2021,Emilia Romagna Grand Prix,2021-04-18,,,traditional,2,TRUE
2021,Bahrain Grand Prix,2021-03-28,,,traditional,3,TRUE
2021,Qatar Grand Prix,2021-11-21,,,street,4,TRUE
2021,Portuguese Grand Prix,2021-05-02,,,traditional,2,TRUE
2021,Spanish Grand Prix,2021-05-09,,,traditional,2,TRUE
2021,Monaco Grand Prix,2021-05-23,,,street,3,FALSE
2021,Azerbaijan Grand Prix,2021-06-06,,,street,3,TRUE
2021,Austrian Grand Prix,2021-06-27,,,traditional,2,FALSE
2021,French Grand Prix,2021-06-20,,,traditional,2,TRUE
2021,Austrian Grand Prix,2021-07-04,,,traditional,2,TRUE
2021,British Grand Prix,2021-07-18,,,traditional,1,TRUE
2021,Hungarian Grand Prix,2021-08-01,,,traditional,2,TRUE
2021,Belgian Grand Prix,2021-08-29,,,traditional,2,TRUE
2021,Dutch Grand Prix,2021-09-05,,,traditional,2,FALSE
2021,Italian Grand Prix,2021-09-12,,,traditional,2,TRUE
2021,Russian Grand Prix,2021-09-26,,,street,2,FALSE
2021,Turkish Grand Prix,2021-10-10,,,traditional,3,FALSE
2021,United States Grand Prix,2021-10-24,,,traditional,2,TRUE
2021,Mexico City Grand Prix,2021-11-07,,,traditional,3,TRUE
2021,S達o Paulo Grand Prix,2021-11-14,,,traditional,2,TRUE
2021,Saudi Arabian Grand Prix,2021-12-05,,,street,3,TRUE
2021,Abu Dhabi Grand Prix,2021-12-12,,,traditional,3,TRUE
2022,Bahrain Grand Prix,2022-03-20,,,traditional,3,TRUE
2022,Saudi Arabian Grand Prix,2022-03-27,,,street,3,TRUE
2022,Australian Grand Prix,2022-04-10,,,street,2,TRUE
2022,Emilia Romagna Grand Prix,2022-04-24,,,traditional,2,TRUE
2022,Miami Grand Prix,2022-05-08,,,street,3,TRUE
2022,Spanish Grand Prix,2022-05-22,,,traditional,2,FALSE
2022,Monaco Grand Prix,2022-05-29,,,street,3,TRUE
2022,Azerbaijan Grand Prix,2022-06-12,,,street,3,TRUE
2022,Canadian Grand Prix,2022-06-19,,,traditional,2,TRUE
2022,British Grand Prix,2022-07-03,,,traditional,1,TRUE
2022,Austrian Grand Prix,2022-07-10,,,traditional,2,TRUE
2022,French Grand Prix,2022-07-24,,,traditional,2,TRUE
2022,Hungarian Grand Prix,2022-07-31,,,traditional,2,TRUE
2022,Belgian Grand Prix,2022-08-28,,,traditional,2,TRUE
2022,Dutch Grand Prix,2022-09-04,,,traditional,2,TRUE
2022,Italian Grand Prix,2022-09-11,,,traditional,2,TRUE
2022,Singapore Grand Prix,2022-10-02,,,street,4,TRUE
2022,Japanese Grand Prix,2022-10-09,,,traditional,2,TRUE
2022,United States Grand Prix,2022-10-23,,,traditional,2,TRUE
2022,Mexico City Grand Prix,2022-10-30,,,traditional,3,TRUE
2022,S達o Paulo Grand Prix,2022-11-13,,,traditional,2,TRUE
2022,Abu Dhabi Grand Prix,2022-11-20,,,traditional,3,FALSE
2023,Bahrain Grand Prix,2023-03-05,,,traditional,3,TRUE
2023,Saudi Arabian Grand Prix,2023-03-19,,,street,3,TRUE
2023,Australian Grand Prix,2023-04-02,,,street,2,TRUE
2023,Azerbaijan Grand Prix,2023-04-30,,,street,3,TRUE
2023,Miami Grand Prix,2023-05-07,,,street,3,FALSE
2023,Monaco Grand Prix,2023-05-28,,,street,3,FALSE
2023,Spanish Grand Prix,2023-06-04,,,traditional,2,FALSE
2023,Canadian Grand Prix,2023-06-18,,,traditional,2,TRUE
2023,Austrian Grand Prix,2023-07-02,,,traditional,2,TRUE
2023,British Grand Prix,2023-07-09,,,traditional,1,TRUE
2023,Hungarian Grand Prix,2023-07-23,,,traditional,2,FALSE
2023,Belgian Grand Prix,2023-07-30,,,traditional,2,TRUE
2023,Dutch Grand Prix,2023-08-27,,,traditional,2,TRUE
2023,Italian Grand Prix,2023-09-03,,,traditional,2,FALSE
2023,Singapore Grand Prix,2023-09-17,,,street,4,TRUE
2023,Japanese Grand Prix,2023-09-24,,,traditional,2,TRUE
2023,Qatar Grand Prix,2023-10-08,,,street,4,TRUE
2023,United States Grand Prix,2023-10-22,,,traditional,2,FALSE
2023,Mexico City Grand Prix,2023-10-29,,,traditional,3,TRUE
2023,S達o Paulo Grand Prix,2023-11-05,,,traditional,2,TRUE
2023,Las Vegas Grand Prix,2023-11-19,,,street,3,TRUE
2023,Abu Dhabi Grand Prix,2023-11-26,,,traditional,3,FALSE
2024,Bahrain Grand Prix,2024-03-02,,,traditional,3,FALSE
2024,Saudi Arabian Grand Prix,2024-03-09,,,street,3,TRUE
2024,Australian Grand Prix,2024-03-24,,,street,2,TRUE
2024,Japanese Grand Prix,2024-04-07,,,traditional,2,TRUE
2024,Chinese Grand Prix,2024-04-21,,,traditional,2,TRUE
2024,Miami Grand Prix,2024-05-05,,,street,3,TRUE
2024,Emilia Romagna Grand Prix,2024-05-19,,,traditional,2,FALSE
2024,Monaco Grand Prix,2024-05-26,,,street,3,TRUE
2024,Canadian Grand Prix,2024-06-09,,,traditional,2,TRUE
2024,Spanish Grand Prix,2024-06-23,,,traditional,2,FALSE
2024,Austrian Grand Prix,2024-06-30,,,traditional,2,TRUE
2024,British Grand Prix,2024-07-07,,,traditional,1,FALSE
2024,Hungarian Grand Prix,2024-07-21,,,traditional,2,FALSE
2024,Belgian Grand Prix,2024-07-28,,,traditional,2,FALSE
2024,Dutch Grand Prix,2024-08-25,,,traditional,2,FALSE
2024,Italian Grand Prix,2024-09-01,,,traditional,2,FALSE
2024,Azerbaijan Grand Prix,2024-09-15,,,street,3,TRUE
2024,Singapore Grand Prix,2024-09-22,,,street,4,FALSE
2024,United States Grand Prix,2024-10-20,,,traditional,2,TRUE
2024,Mexico City Grand Prix,2024-10-27,,,traditional,3,TRUE
2024,S達o Paulo Grand Prix,2024-11-03,,,traditional,2,TRUE
2024,Las Vegas Grand Prix,2024-11-23,,,street,3,FALSE
2024,Qatar Grand Prix,2024-12-01,,,street,4,TRUE
2024,Abu Dhabi Grand Prix,2024-12-08,,,traditional,3,TRUE
